Rushing Defense
Through Games 12/05/2015
  Rank Name                           G W-L            Opp Rush     Opp Rush Yds    Yds/Rush     Opp Rush TDs         YPG 
    96 New Mexico                    12 7-5                 520             2331        4.48               18       194.3 
    97 Kentucky                      12 5-7                 510             2353        4.61               24       196.1 
    98 Colorado                      13 4-9                 513             2583        5.04               19       198.7 
    99 Washington St.                12 8-4                 480             2388        4.98               23       199.0 
   100 UCF                           12 0-12                495             2390        4.83               24       199.2 
   101 Old Dominion                  12 5-7                 522             2440        4.67               30       203.3 
   102 California                    12 7-5                 512             2442        4.77               21       203.5 
   103 Texas A&M                     12 8-4                 509             2471        4.85               17       205.9 
   104 La.-Monroe                    13 2-11                638             2704        4.24               27       208.0 
   105 Colorado St.                  12 7-5                 513             2502        4.88               25       208.5 
   106 Miami (FL)                    12 8-4                 472             2526        5.35               25       210.5 
   107 Purdue                        12 2-10                504             2579        5.12               28       214.9 
   108 San Jose St.                  12 5-7                 493             2587        5.25               29       215.6 
   109 North Carolina                13 11-2                591             2818        4.77               21       216.8 
   110 South Carolina                12 3-9                 509             2609        5.13               26       217.4 
   111 UNLV                          12 3-9                 462             2610        5.65               32       217.5 
   112 Texas                         12 5-7                 583             2630        4.51               21       219.2 
   113 South Ala.                    12 5-7                 493             2652        5.38               34       221.0 
   114 Wyoming                       12 2-10                512             2702        5.28               28       225.2 
   115 Oregon St.                    12 2-10                526             2706        5.14               28       225.5 
       Ball St.                      12 3-9                 512             2706        5.29               29       225.5 
   117 Fresno St.                    12 3-9                 563             2816        5.00               32       234.7 
   118 Tulsa                         12 6-6                 549             2862        5.21               32       238.5 
   119 Hawaii                        13 3-10                686             3118        4.55               33       239.8 
   120 North Texas                   12 1-11                531             2879        5.42               38       239.9 
   121 New Mexico St.                12 3-9                 521             2907        5.58               35       242.3 
   122 Texas St.                     12 3-9                 542             3096        5.71               31       258.0 
   123 SMU                           12 2-10                542             3134        5.78               40       261.2 
   124 Kansas                        12 0-12                565             3206        5.67               39       267.2 
   125 Texas Tech                    12 7-5                 551             3262        5.92               42       271.8 
   126 Idaho                         12 4-8                 517             3279        6.34               39       273.3 
   127 Eastern Mich.                 12 1-11                588             3798        6.46               44       316.5 
Reclassifying
    NR Charlotte                     12 2-10                500             2287        4.57               23       190.6 
