Team Passing Efficiency Defense
Through Games 12/05/2015
  Rank Name                           G W-L            Opp Pass     Opp Cpl     Opp Int     Opp Pass Yds     Opp Pass TDs    Pass Eff 
    96 Oregon                        12 9-3                 508         318          12             3614               33      139.07 
    97 Southern California           13 8-5                 428         270          14             3304               24      139.89 
    98 Army West Point               11 2-9                 292         180           6             2412               12      140.48 
    99 Syracuse                      12 4-8                 388         251          11             3080               18      141.01 
   100 Fresno St.                    12 3-9                 331         206           9             2538               20      141.15 
   101 La.-Lafayette                 12 4-8                 361         189           5             2845               28      141.38 
   102 Indiana                       12 6-6                 511         311           9             3916               31      141.73 
   103 Arizona St.                   12 6-6                 465         266          13             3860               30      142.63 
   104 Hawaii                        13 3-10                364         224           3             2716               23      143.42 
   105 Arkansas                      12 7-5                 411         268          10             3414               17      143.77 
   106 Maryland                      12 3-9                 385         222           9             3101               27      143.79 
   107 Arizona                       12 6-6                 421         266           8             3298               27      146.35 
   108 Tulane                        12 3-9                 333         203           8             2801               20      146.63 
   109 Tulsa                         12 6-6                 429         266           9             3516               26      146.65 
   110 Kansas St.                    12 6-6                 425         270           4             3397               24      147.42 
   111 Idaho                         12 4-8                 322         198           6             2573               22      147.43 
   112 Iowa St.                      12 3-9                 404         247           5             3202               28      148.11 
   113 La.-Monroe                    13 2-11                341         194           5             2792               29      150.80 
   114 Eastern Mich.                 12 1-11                300         184           4             2433               22      150.99 
   115 New Mexico St.                12 3-9                 402         251          12             3360               30      151.30 
   116 Virginia                      12 4-8                 375         234           4             3059               26      151.67 
   117 UTEP                          12 5-7                 359         203           5             3180               26      152.07 
   118 Rutgers                       12 4-8                 367         235          13             3311               22      152.51 
   119 Oregon St.                    12 2-10                371         254           8             3072               26      156.83 
   120 Kansas                        12 0-12                402         267           9             3524               27      157.74 
   121 North Texas                   12 1-11                373         256           4             3152               24      158.70 
   122 Ball St.                      12 3-9                 408         289           7             3510               26      160.70 
   123 Wyoming                       12 2-10                279         186           5             2363               23      161.43 
   124 SMU                           12 2-10                311         184          10             2892               31      163.74 
   125 Texas St.                     12 3-9                 351         228           3             3166               28      165.34 
   126 UCF                           12 0-12                356         233           4             3179               31      166.95 
   127 Rice                          12 5-7                 309         185           2             3086               36      180.91 
Reclassifying
    NR Charlotte                     12 2-10                407         240          10             2741               25      130.90 
