Scoring Offense
Through Games 12/05/2015
  Rank Name                           G W-L                 TDs         PAT         2PT     Def Pts          FG         Saf         Pts         PPG 
       Nevada                        12 6-6                  39          37           0           0          14           0         313        26.1 
    89 Virginia                      12 4-8                  37          34           0           0          17           1         309        25.8 
    90 FIU                           12 5-7                  40          32           2           0          10           0         306        25.5 
    91 Eastern Mich.                 12 1-11                 39          36           1           0          11           0         305        25.4 
    92 Purdue                        12 2-10                 41          38           1           0           5           0         301        25.1 
    93 South Ala.                    12 5-7                  36          32           2           0          16           0         300        25.0 
       Iowa St.                      12 3-9                  37          36           0           0          14           0         300        25.0 
    95 Maryland                      12 3-9                  38          33           1           0          11           0         296        24.7 
       Kentucky                      12 5-7                  35          33           0           1          17           0         296        24.7 
    97 Colorado                      13 4-9                  38          36           1           0          18           0         320        24.6 
    98 Florida                       13 10-3                 43          35           1           0           7           1         318        24.5 
    99 Old Dominion                  12 5-7                  37          31           1           0          12           0         291        24.3 
   100 Akron                         12 7-5                  36          34           0           0          12           1         288        24.0 
   101 Penn St.                      12 7-5                  34          29           0           0          17           0         284        23.7 
   102 Ball St.                      12 3-9                  33          31           0           0          16           0         277        23.1 
   103 Illinois                      12 5-7                  32          32           0           0          16           0         272        22.7 
   104 UTSA                          12 3-9                  35          29           0           0          10           1         271        22.6 
       Minnesota                     12 5-7                  32          30           2           0          15           0         271        22.6 
   106 Army West Point               11 2-9                  33          29           3           0           5           0         248        22.5 
   107 Fla. Atlantic                 12 3-9                  31          28           0           0          18           1         270        22.5 
   108 Fresno St.                    12 3-9                  35          31           1           0           8           0         267        22.3 
   109 Massachusetts                 12 3-9                  34          32           0           0          10           0         266        22.2 
   110 South Carolina                12 3-9                  29          25           1           0          20           1         263        21.9 
   111 La.-Monroe                    13 2-11                 35          34           0           0           9           1         273        21.0 
   112 Northwestern                  12 10-2                 28          26           0           0          18           0         248        20.7 
       UTEP                          12 5-7                  29          23           0           0          15           3         248        20.7 
   114 Tulane                        12 3-9                  30          29           0           0           9           0         236        19.7 
   115 Oregon St.                    12 2-10                 28          23           2           0          11           0         228        19.0 
       Wyoming                       12 2-10                 32          28           1           0           2           0         228        19.0 
   117 Miami (OH)                    12 3-9                  27          24           0           0           9           1         215        17.9 
   118 UConn                         12 6-6                  24          20           1           0          15           1         213        17.8 
   119 Hawaii                        13 3-10                 29          27           1           0           8           1         229        17.6 
   120 Wake Forest                   12 3-9                  25          24           0           0          11           1         209        17.4 
   121 Boston College                12 3-9                  27          24           1           0           6           0         206        17.2 
   122 Kansas                        12 0-12                 24          21           0           0           6           0         183        15.3 
   123 North Texas                   12 1-11                 22          21           0           1           9           0         182        15.2 
       Vanderbilt                    12 4-8                  21          18           1           0          12           0         182        15.2 
   125 UCF                           12 0-12                 18          18           0           0          13           1         167        13.9 
   126 Missouri                      12 5-7                  16          15           1           0          16           1         163        13.6 
   127 Kent St.                      12 3-9                  19          14           2           0           7           2         157        13.1 
Reclassifying
    NR Charlotte                     12 2-10                 24          24           0           0          14           0         210        17.5 
