Scoring Defense
Through Games 12/05/2015
  Rank Name                           G W-L                 TDs      Opp XP         2PT     Opp DXP     Opp FGM     Opp Saf         Pts         Avg 
    88 California                    12 7-5                  43          40           1           0          21           0         363        30.3 
       Cincinnati                    12 7-5                  45          41           1           0          16           1         363        30.3 
    90 Kansas St.                    12 6-6                  46          41           1           0          15           0         364        30.3 
       Texas                         12 5-7                  46          44           0           0          14           1         364        30.3 
    92 Syracuse                      12 4-8                  46          45           0           0          17           0         372        31.0 
    93 Massachusetts                 12 3-9                  45          43           0           1          20           1         377        31.4 
    94 La.-Lafayette                 12 4-8                  49          45           1           0          13           1         382        31.8 
    95 Miami (OH)                    12 3-9                  48          45           0           0          17           0         384        32.0 
    96 Virginia                      12 4-8                  45          42           1           0          22           3         386        32.2 
    97 Iowa St.                      12 3-9                  51          50           0           0          12           0         392        32.7 
       Arizona St.                   12 6-6                  50          45           1           0          15           0         392        32.7 
    99 UTEP                          12 5-7                  51          48           0           0          13           1         395        32.9 
   100 UNLV                          12 3-9                  53          49           2           0          11           0         404        33.7 
   101 UTSA                          12 3-9                  50          47           0           1          18           1         405        33.8 
   102 Wyoming                       12 2-10                 53          51           0           0          13           0         408        34.0 
   103 Maryland                      12 3-9                  53          51           1           0          14           0         413        34.4 
   104 Rutgers                       12 4-8                  55          51           1           0          12           0         419        34.9 
   105 Hawaii                        13 3-10                 59          58           0           0          17           0         463        35.6 
   106 Arizona                       12 6-6                  55          53           0           0          15           0         428        35.7 
   107 Old Dominion                  12 5-7                  54          51           0           0          18           0         429        35.8 
   108 Rice                          12 5-7                  59          55           0           0           7           0         430        35.8 
       Ball St.                      12 3-9                  56          52           0           0          14           0         430        35.8 
   110 Tulane                        12 3-9                  57          57           0           0          10           3         435        36.3 
   111 Purdue                        12 2-10                 57          52           1           0          14           0         438        36.5 
   112 La.-Monroe                    13 2-11                 61          57           1           0          16           1         475        36.5 
   113 Oregon                        12 9-3                  57          55           1           0          14           0         441        36.8 
   114 Oregon St.                    12 2-10                 57          55           1           0          15           0         444        37.0 
   115 Indiana                       12 6-6                  60          49           3           0          10           0         445        37.1 
   116 South Ala.                    12 5-7                  58          51           2           0          14           1         447        37.3 
   117 UCF                           12 0-12                 57          51           2           0          17           2         452        37.7 
   118 Fresno St.                    12 3-9                  63          57           1           0           6           1         457        38.1 
   119 Tulsa                         12 6-6                  59          59           0           0          16           1         463        38.6 
   120 Texas St.                     12 3-9                  62          60           1           0          12           0         470        39.2 
   121 North Texas                   12 1-11                 66          63           0           0          12           0         495        41.3 
   122 Eastern Mich.                 12 1-11                 68          65           3           0           8           1         505        42.1 
       Idaho                         12 4-8                  66          65           0           0          14           1         505        42.1 
   124 Texas Tech                    12 7-5                  69          66           1           0           9           1         511        42.6 
   125 New Mexico St.                12 3-9                  71          67           2           0          13           2         540        45.0 
   126 SMU                           12 2-10                 75          72           1           0           8           0         548        45.7 
   127 Kansas                        12 0-12                 72          69           1           0          16           1         553        46.1 
Reclassifying
    NR Charlotte                     12 2-10                 55          49           1           0          18           0         435        36.3 
