Rushing Offense
Through Games 12/05/2015
  Rank Name                           G W-L                Rush    Rush Yds    Yds/Rush     Rush TD         YPG 
    90 Ball St.                      12 3-9                 437        1840        4.21          15       153.3 
    91 Washington                    12 6-6                 433        1834        4.24          22       152.8 
    92 Michigan                      12 9-3                 445        1832        4.12          25       152.7 
    93 Old Dominion                  12 5-7                 401        1821        4.54          16       151.8 
    94 Virginia Tech                 12 6-6                 502        1816        3.62          14       151.3 
    95 Middle Tenn.                  12 7-5                 477        1779        3.73          22       148.3 
    96 Wisconsin                     12 9-3                 466        1777        3.81          26       148.1 
    97 Idaho                         12 4-8                 458        1766        3.86          23       147.2 
    98 UTEP                          12 5-7                 447        1761        3.94           8       146.8 
    99 Virginia                      12 4-8                 424        1737        4.10          13       144.8 
   100 Minnesota                     12 5-7                 407        1715        4.21          16       142.9 
   101 Massachusetts                 12 3-9                 392        1707        4.35          15       142.3 
   102 Mississippi St.               12 8-4                 392        1684        4.30          18       140.3 
   103 Buffalo                       12 5-7                 425        1643        3.87          17       136.9 
   104 Fresno St.                    12 3-9                 423        1642        3.88          14       136.8 
   105 Penn St.                      12 7-5                 393        1624        4.13          15       135.3 
   106 East Carolina                 12 5-7                 404        1600        3.96          19       133.3 
   107 BYU                           12 9-3                 388        1597        4.12          26       133.1 
   108 Kent St.                      12 3-9                 447        1593        3.56           6       132.8 
   109 Oklahoma St.                  12 10-2                430        1586        3.69          23       132.2 
   110 Purdue                        12 2-10                417        1576        3.78          22       131.3 
   111 Miami (OH)                    12 3-9                 428        1556        3.64           7       129.7 
   112 Illinois                      12 5-7                 388        1551        4.00          13       129.3 
   113 Florida                       13 10-3                483        1659        3.43          19       127.6 
   114 UConn                         12 6-6                 444        1495        3.37          13       124.6 
   115 Hawaii                        13 3-10                425        1611        3.79          15       123.9 
   116 Miami (FL)                    12 8-4                 394        1434        3.64          19       119.5 
   117 Troy                          12 4-8                 381        1429        3.75          14       119.1 
   118 Tulane                        12 3-9                 397        1389        3.50          11       115.8 
   119 Missouri                      12 5-7                 397        1385        3.49           5       115.4 
   120 Kansas                        12 0-12                445        1355        3.04          10       112.9 
   121 FIU                           12 5-7                 385        1319        3.43          15       109.9 
   122 Wake Forest                   12 3-9                 417        1262        3.03          12       105.2 
   123 Georgia St.                   12 6-6                 387        1237        3.20          15       103.1 
   124 La.-Monroe                    13 2-11                425        1338        3.15           7       102.9 
   125 Central Mich.                 12 7-5                 392        1213        3.09          14       101.1 
   126 UCF                           12 0-12                356         975        2.74           4        81.3 
   127 Washington St.                12 8-4                 269         959        3.57           8        79.9 
Reclassifying
    NR Charlotte                     12 2-10                562        1957        3.48           9       163.1 
