Kickoff Returns
Through Games 12/05/2015
  Rank Name                           G W-L              KO Ret  KO Ret Yds     Kick Ret TDs         Avg 
       Troy                          12 4-8                  30         530                0       17.67 
   121 Miami (OH)                    12 3-9                  49         852                0       17.39 
   122 Bowling Green                 13 10-3                 43         738                0       17.16 
   123 Ole Miss                      12 9-3                  29         489                0       16.86 
   124 New Mexico St.                12 3-9                  33         553                0       16.76 
   125 Buffalo                       12 5-7                  35         581                0       16.60 
   126 Akron                         12 7-5                  32         530                0       16.56 
   127 Missouri                      12 5-7                  38         573                0       15.08 
Reclassifying
    NR Charlotte                     12 2-10                 53        1037                1       19.57 
