Total Defense
Through Games 12/05/2015
  Rank Name                           G W-L               Plays         YDS    Yds/Play     Off TDs     Opp TDs         YPG 
    56 Ole Miss                      12 9-3                 954        4650        4.87          30          31       387.5 
    57 Middle Tenn.                  12 7-5                 898        4660        5.19          35          38       388.3 
    58 Mississippi St.               12 8-4                 876        4661        5.32          28          30       388.4 
    59 Baylor                        12 9-3                 922        4668        5.06          42          44       389.0 
    60 Western Ky.                   13 11-2                918        5076        5.53          40          43       390.5 
    61 Troy                          12 4-8                 895        4695        5.25          39          43       391.3 
    62 UCLA                          12 8-4                 963        4722        4.90          30          34       393.5 
    63 Kentucky                      12 5-7                 853        4730        5.55          38          41       394.2 
    64 Colorado St.                  12 7-5                 824        4737        5.75          37          39       394.8 
    65 Nevada                        12 6-6                 836        4738        5.67          36          40       394.8 
    66 TCU                           12 10-2                921        4760        5.17          39          40       396.7 
    67 Arkansas St.                  12 9-3                 873        4763        5.46          42          47       396.9 
    68 Northern Ill.                 13 8-5                1034        5203        5.03          35          38       400.2 
    69 East Carolina                 12 5-7                 894        4811        5.38          38          39       400.9 
    70 Southern California           13 8-5                 909        5217        5.74          40          42       401.3 
    71 Nebraska                      12 5-7                 828        4819        5.82          39          41       401.6 
    72 Arkansas                      12 7-5                 792        4849        6.12          41          42       404.1 
    73 Miami (OH)                    12 3-9                 863        4855        5.63          47          48       404.6 
    74 Fla. Atlantic                 12 3-9                 877        4861        5.54          40          44       405.1 
    75 FIU                           12 5-7                 854        4873        5.71          42          47       406.1 
    76 Miami (FL)                    12 8-4                 833        4881        5.86          39          41       406.8 
    77 Memphis                       12 9-3                 888        4885        5.50          42          42       407.1 
    78 Bowling Green                 13 10-3               1008        5315        5.27          39          42       408.8 
    79 North Carolina                13 11-2               1008        5347        5.30          37          37       411.3 
    80 Western Mich.                 12 7-5                 787        4936        6.27          44          45       411.3 
    81 Virginia                      12 4-8                 793        4938        6.23          41          45       411.5 
    82 Tulane                        12 3-9                 851        4947        5.81          49          57       412.3 
    83 Buffalo                       12 5-7                 876        4961        5.66          41          43       413.4 
    84 Cincinnati                    12 7-5                 853        4976        5.83          41          45       414.7 
    85 Georgia St.                   12 6-6                 922        4987        5.41          35          41       415.6 
    86 South Ala.                    12 5-7                 830        4992        6.01          53          58       416.0 
    87 Colorado                      13 4-9                 948        5420        5.72          43          44       416.9 
    88 La.-Lafayette                 12 4-8                 848        5050        5.96          45          49       420.8 
    89 Maryland                      12 3-9                 906        5054        5.58          50          53       421.2 
    90 Auburn                        12 6-6                 913        5062        5.54          37          38       421.8 
