Passing Yards Allowed
Through Games 12/05/2015
  Rank Name                           G W-L             Opp Cpl    Opp Pass     Opp Pass Yds     Opp Pass TDs     Yds/Att    Yds/Comp         YPG 
   102 Syracuse                      12 4-8                 251         388             3080               18        7.94       12.27       256.7 
   103 Rice                          12 5-7                 185         309             3086               36        9.99       16.68       257.2 
   104 Maryland                      12 3-9                 222         385             3101               27        8.05       13.97       258.4 
   105 North Texas                   12 1-11                256         373             3152               24        8.45       12.31       262.7 
   106 Toledo                        11 9-2                 255         433             2896               15        6.69       11.36       263.3 
   107 Texas St.                     12 3-9                 228         351             3166               28        9.02       13.89       263.8 
   108 UCF                           12 0-12                233         356             3179               31        8.93       13.64       264.9 
   109 UTEP                          12 5-7                 203         359             3180               26        8.86       15.67       265.0 
   110 Houston                       13 12-1                255         452             3449               18        7.63       13.53       265.3 
   111 Louisiana Tech                12 8-4                 274         455             3189               24        7.01       11.64       265.8 
   112 Iowa St.                      12 3-9                 247         404             3202               28        7.93       12.96       266.8 
   113 Texas Tech                    12 7-5                 256         418             3220               24        7.70       12.58       268.3 
   114 Memphis                       12 9-3                 232         403             3232               21        8.02       13.93       269.3 
   115 Arizona                       12 6-6                 266         421             3298               27        7.83       12.40       274.8 
   116 UTSA                          12 3-9                 245         410             3302               22        8.05       13.48       275.2 
   117 Rutgers                       12 4-8                 235         367             3311               22        9.02       14.09       275.9 
   118 New Mexico St.                12 3-9                 251         402             3360               30        8.36       13.39       280.0 
   119 Kansas St.                    12 6-6                 270         425             3397               24        7.99       12.58       283.1 
   120 Arkansas                      12 7-5                 268         411             3414               17        8.31       12.74       284.5 
   121 Nebraska                      12 5-7                 267         465             3458               22        7.44       12.95       288.2 
   122 Ball St.                      12 3-9                 289         408             3510               26        8.60       12.15       292.5 
   123 Tulsa                         12 6-6                 266         429             3516               26        8.20       13.22       293.0 
   124 Kansas                        12 0-12                267         402             3524               27        8.77       13.20       293.7 
   125 Oregon                        12 9-3                 318         508             3614               33        7.11       11.36       301.2 
   126 Arizona St.                   12 6-6                 266         465             3860               30        8.30       14.51       321.7 
   127 Indiana                       12 6-6                 311         511             3916               31        7.66       12.59       326.3 
Reclassifying
    NR Charlotte                     12 2-10                240         407             2741               25        6.73       11.42       228.4 
