Passing Offense
Through Games 12/05/2015
  Rank Name                           G W-L            Pass Att    Pass Com         Int    Pass Yds     Yds/Att    Yds/Comp     Pass TD         YPG 
    77 UNLV                          12 3-9                 365         196          13        2537        6.95       12.94          21       211.4 
    78 Florida                       13 10-3                380         219           8        2744        7.22       12.53          19       211.1 
    79 Stanford                      13 11-2                297         201           7        2742        9.23       13.64          27       210.9 
    80 North Carolina St.            12 7-5                 385         234           4        2526        6.56       10.79          19       210.5 
    81 Kentucky                      12 5-7                 397         218          16        2512        6.33       11.52          10       209.3 
    82 Penn St.                      12 7-5                 362         193           5        2507        6.93       12.99          18       208.9 
    83 La.-Lafayette                 12 4-8                 387         226          12        2502        6.47       11.07          13       208.5 
       Miami (OH)                    12 3-9                 374         177          19        2502        6.69       14.14          18       208.5 
    85 La.-Monroe                    13 2-11                477         256          19        2703        5.67       10.56          25       207.9 
    86 South Carolina                12 3-9                 351         191          12        2490        7.09       13.04          17       207.5 
    87 Rutgers                       12 4-8                 337         203          12        2485        7.37       12.24          19       207.1 
    88 Utah St.                      12 6-6                 358         201           9        2435        6.80       12.11          18       202.9 
    89 Appalachian St.               12 10-2                271         167           8        2422        8.94       14.50          31       201.8 
    90 Iowa                          13 12-1                336         206           4        2623        7.81       12.73          15       201.8 
    91 Tulane                        12 3-9                 403         205          10        2415        5.99       11.78          18       201.3 
    92 South Ala.                    12 5-7                 352         184          16        2394        6.80       13.01          15       199.5 
    93 Tennessee                     12 8-4                 341         204           5        2388        7.00       11.71          17       199.0 
    94 UTEP                          12 5-7                 387         214          10        2346        6.06       10.96          18       195.5 
    95 Pittsburgh                    12 8-4                 322         199           6        2341        7.27       11.76          20       195.1 
    96 UConn                         12 6-6                 325         191           9        2326        7.16       12.18          10       193.8 
       Akron                         12 7-5                 340         169          11        2326        6.84       13.76          17       193.8 
    98 UTSA                          12 3-9                 360         211          11        2321        6.45       11.00          17       193.4 
    99 Hawaii                        13 3-10                422         202          21        2501        5.93       12.38          12       192.4 
   100 Utah                          12 9-3                 336         215          11        2269        6.75       10.55          15       189.1 
