Red Zone Defense
Through Games 12/05/2015
  Rank Name                           G W-L           Opp RZAtt   Opp RZ Rush TD   Opp RZ Pass TD   Opp RZ FG Made     Opp RZScores         Pct 
   112 Idaho                         12 4-8                  63               30               17               10               57       0.905 
   113 UCF                           12 0-12                 53               18               20               10               48       0.906 
   114 Houston                       13 12-1                 32               14                9                6               29       0.906 
       LSU                           11 8-3                  32               11               12                6               29       0.906 
   116 Maryland                      12 3-9                  54               21               18               10               49       0.907 
   117 Penn St.                      12 7-5                  34               16                9                6               31       0.912 
   118 UNLV                          12 3-9                  46               24               11                7               42       0.913 
   119 Baylor                        12 9-3                  36               12               14                7               33       0.917 
   120 Texas                         12 5-7                  51               17               18               12               47       0.922 
   121 SMU                           12 2-10                 55               31               12                8               51       0.927 
   122 Army West Point               11 2-9                  42               20                6               13               39       0.929 
   123 Ga. Southern                  12 8-4                  31                8               12                9               29       0.935 
   124 California                    12 7-5                  47               16               12               16               44       0.936 
   125 Arizona                       12 6-6                  53               23               16               11               50       0.943 
   126 South Ala.                    12 5-7                  51               29               11                9               49       0.961 
   127 Pittsburgh                    12 8-4                  32                9                7               15               31       0.969 
Reclassifying
    NR Charlotte                     12 2-10                 56               18               13               12               43       0.768 
