Passing Yards per Completion
Through Games 12/05/2015
  Rank Name                           G W-L            Pass Com    Pass Att    Pass Yds         Avg 
   110 Vanderbilt                    12 4-8                 192         376        2062       10.74 
   111 Alabama                       13 12-1                260         390        2786       10.72 
   112 Eastern Mich.                 12 1-11                249         409        2666       10.71 
   113 Missouri                      12 5-7                 186         373        1986       10.68 
   114 UCF                           12 0-12                211         425        2246       10.64 
   115 Fresno St.                    12 3-9                 202         403        2140       10.59 
   116 Buffalo                       12 5-7                 283         455        2994       10.58 
   117 La.-Monroe                    13 2-11                256         477        2703       10.56 
   118 Utah                          12 9-3                 215         336        2269       10.55 
   119 East Carolina                 12 5-7                 321         473        3375       10.51 
   120 Northwestern                  12 10-2                160         319        1672       10.45 
   121 FIU                           12 5-7                 274         440        2854       10.42 
   122 Illinois                      12 5-7                 285         519        2921       10.25 
   123 North Texas                   12 1-11                190         407        1937       10.19 
   124 Washington St.                12 8-4                 471         685        4764       10.11 
   125 Ball St.                      12 3-9                 263         459        2619        9.96 
   126 Purdue                        12 2-10                290         504        2847        9.82 
   127 Kent St.                      12 3-9                 175         343        1657        9.47 
Reclassifying
    NR Charlotte                     12 2-10                196         375        2089       10.66 
