Team Passing Efficiency
Through Games 12/05/2015
  Rank Name                           G W-L            Pass Att    Pass Com         Int    Pass Yds     Pass TD    Pass Eff 
    97 La.-Lafayette                 12 4-8                 387         226          12        2502          13      117.59 
    98 Texas St.                     12 3-9                 431         249          12        2752          15      117.32 
    99 Akron                         12 7-5                 340         169          11        2326          17      117.20 
   100 Old Dominion                  12 5-7                 433         235           9        2634          20      116.46 
   101 UTEP                          12 5-7                 387         214          10        2346          18      116.40 
   102 Massachusetts                 12 3-9                 495         281          13        3090          18      115.95 
   103 South Ala.                    12 5-7                 352         184          16        2394          15      114.37 
   104 Ball St.                      12 3-9                 459         263           9        2619          17      113.53 
   105 Wake Forest                   12 3-9                 417         236          18        2739          13      113.42 
   106 New Mexico                    12 7-5                 208         108          11        1579           5      113.05 
   107 Tulane                        12 3-9                 403         205          10        2415          18      110.98 
   108 Fla. Atlantic                 12 3-9                 394         206          12        2557          12      110.76 
   109 La.-Monroe                    13 2-11                477         256          19        2703          25      110.60 
   110 Purdue                        12 2-10                504         290          16        2847          18      110.43 
   111 Illinois                      12 5-7                 519         285           8        2921          16      109.28 
   112 Miami (OH)                    12 3-9                 374         177          19        2502          18      109.24 
   113 Kansas St.                    12 6-6                 320         150          12        2125          13      108.56 
   114 Kentucky                      12 5-7                 397         218          16        2512          10      108.31 
   115 Kansas                        12 0-12                452         243          14        2623          12      105.07 
   116 Fresno St.                    12 3-9                 403         202          16        2140          20      103.17 
   117 Vanderbilt                    12 4-8                 376         192          16        2062          11       98.27 
   118 Hawaii                        13 3-10                422         202          21        2501          12       97.08 
   119 Missouri                      12 5-7                 373         186          12        1986          10       97.00 
   120 Oregon St.                    12 2-10                343         161          11        1909          10       96.90 
   121 Northwestern                  12 10-2                319         160           9        1672           8       96.82 
   122 Kent St.                      12 3-9                 343         175          10        1657           9       94.43 
   123 UCF                           12 0-12                425         211          23        2246          13       93.31 
   124 Boston College                12 3-9                 249         111           9        1334           8       92.95 
   125 North Texas                   12 1-11                407         190          11        1937          12       90.98 
   126 Maryland                      12 3-9                 388         183          29        2092          15       90.26 
   127 Ga. Southern                  12 8-4                 129          55          10         742           3       83.12 
Reclassifying
    NR Charlotte                     12 2-10                375         196          23        2089          12       97.35 
