4th Down Conversion Pct Defense
Through Games 12/05/2015
  Rank Name                           G W-L             Opp 4th Conv      Opp 4th Att         Pct 
   113 Troy                          12 4-8                       19               31       0.613 
   114 Notre Dame                    12 10-2                      13               21       0.619 
   115 North Carolina                13 11-2                      20               31       0.645 
   116 Idaho                         12 4-8                       11               17       0.647 
   117 UCF                           12 0-12                       8               12       0.667 
       Nevada                        12 6-6                       10               15       0.667 
   119 Kansas                        12 0-12                       9               13       0.692 
   120 Oregon                        12 9-3                       14               20       0.700 
   121 New Mexico St.                12 3-9                       12               17       0.706 
   122 Kent St.                      12 3-9                       15               21       0.714 
   123 San Jose St.                  12 5-7                       13               18       0.722 
   124 Tennessee                     12 8-4                       16               22       0.727 
   125 Eastern Mich.                 12 1-11                      15               19       0.789 
   126 Army West Point               11 2-9                        6                7       0.857 
   127 Syracuse                      12 4-8                       13               13       1.000 
Reclassifying
    NR Charlotte                     12 2-10                      11               20       0.550 
