Total Offense
Through Games 12/05/2015
  Rank Name                           G W-L               Plays         YDS    Yds/Play     Off TDs         TDs         YPG 
    91 Old Dominion                  12 5-7                 834        4455        5.34          36          54       371.3 
    92 Utah St.                      12 6-6                 810        4450        5.49          40          43       370.8 
    93 Texas                         12 5-7                 781        4449        5.70          36          46       370.8 
    94 Temple                        13 10-3                881        4799        5.45          44          27       369.2 
    95 Purdue                        12 2-10                921        4423        4.80          40          57       368.6 
    96 Auburn                        12 6-6                 821        4408        5.37          35          38       367.3 
       Virginia Tech                 12 6-6                 858        4408        5.14          37          35       367.3 
    98 Akron                         12 7-5                 833        4360        5.23          36          34       363.3 
    99 UTSA                          12 3-9                 870        4347        5.00          33          50       362.3 
   100 South Carolina                12 3-9                 774        4346        5.61          28          42       362.2 
   101 Wyoming                       12 2-10                786        4328        5.51          32          53       360.7 
   102 South Ala.                    12 5-7                 833        4322        5.19          33          58       360.2 
   103 Troy                          12 4-8                 799        4319        5.41          35          43       359.9 
   104 Minnesota                     12 5-7                 804        4285        5.33          30          38       357.1 
   105 FIU                           12 5-7                 825        4173        5.06          37          47       347.8 
   106 Penn St.                      12 7-5                 755        4131        5.47          33          34       344.3 
   107 UTEP                          12 5-7                 834        4107        4.92          26          51       342.3 
   108 Kansas St.                    12 6-6                 829        4096        4.94          41          46       341.3 
   109 Florida                       13 10-3                863        4403        5.10          38          25       338.7 
   110 Miami (OH)                    12 3-9                 802        4058        5.06          25          48       338.2 
   111 Army West Point               11 2-9                 662        3714        5.61          32          37       337.6 
   112 Oregon St.                    12 2-10                789        4037        5.12          25          57       336.4 
   113 Wake Forest                   12 3-9                 834        4001        4.80          25          37       333.4 
   114 Northwestern                  12 10-2                882        3991        4.52          23          24       332.6 
   115 Kansas                        12 0-12                897        3978        4.43          22          72       331.5 
   116 Vanderbilt                    12 4-8                 871        3918        4.50          20          26       326.5 
   117 North Texas                   12 1-11                843        3841        4.56          19          66       320.1 
   118 Syracuse                      12 4-8                 751        3839        5.11          34          46       319.9 
   119 UConn                         12 6-6                 769        3821        4.97          23          28       318.4 
   120 Tulane                        12 3-9                 800        3804        4.76          29          57       317.0 
   121 Hawaii                        13 3-10                847        4112        4.85          27          59       316.3 
   122 Fresno St.                    12 3-9                 826        3782        4.58          34          63       315.2 
   123 La.-Monroe                    13 2-11                902        4041        4.48          32          61       310.8 
   124 Missouri                      12 5-7                 770        3371        4.38          15          22       280.9 
   125 Boston College                12 3-9                 751        3307        4.40          25          19       275.6 
   126 Kent St.                      12 3-9                 790        3250        4.11          15          40       270.8 
   127 UCF                           12 0-12                781        3221        4.12          17          57       268.4 
Reclassifying
    NR Charlotte                     12 2-10                937        4046        4.32          21          55       337.2 
